stock,returns
FB,-2.550003
FB,1.910003
FB,-1.519989
FB,2.619995
FB,2.059998
FB,1.770004
FB,3.62999
FB,0.360001
FB,0.710006
FB,-0.240005
FB,3.130005
FB,1.279998
FB,0.39
FB,-0.100006
FB,1.570007
FB,-0.720001
FB,0.330002
FB,4.830001
FB,2.009995
FB,-3.199997
FB,0.610001
FB,-0.559998
FB,-0.710007
FB,1.029999
FB,2.360001
FB,-0.75
FB,-0.050003
FB,-3.779999
FB,0.680008
FB,2.669998
FB,0.25
FB,-1
FB,-3.089996
FB,0.5
FB,0.369995
FB,1.86
FB,-0.929992
FB,-0.970002
FB,-1.419998
FB,0.919998
FB,0.809998
FB,1.869995
FB,2.050003
FB,0.050003
FB,-1.300003
FB,1.369995
FB,1.120011
FB,-2.26001
FB,2.559998
FB,-0.549988
FB,0.089996
FB,-2.089996
FB,0.679992
FB,-1.630004
FB,2.510009
FB,-0.350006
FB,-1.059997
FB,-0.570008
FB,-7.669998
FB,1.340012
FB,3.469986
FB,1.050003
FB,2.139999
FB,-1.399994
FB,0.490006
FB,-1.540009
FB,2.820007
FB,0.989991
FB,0.270004
FB,-0.910004
FB,1.150009
FB,-0.190002
FB,1.190002
FB,0.779999
FB,1.589997
FB,-0.080002
FB,-1.470001
FB,0.419998
FB,-3.709992
FB,0.529999
FB,-1.199997
FB,0.029999
FB,7.25
FB,1.98999
FB,0.190003
FB,2.600006
FB,-3.740006
FB,0
FB,1.25
FB,0.080002
FB,-0.690002
FB,-0.259995
FB,-0.839996
FB,0.309997
GOOG,22.409973
GOOG,5.98999
GOOG,6.75
GOOG,-10.690002
GOOG,8.660034
GOOG,-0.929992
GOOG,-7.28003
GOOG,0.690003
GOOG,6.559997
GOOG,2.600037
GOOG,-12.800049
GOOG,-10.119995
GOOG,2.580017
GOOG,12.02002
GOOG,-3.410035
GOOG,12.080017
GOOG,5.229981
GOOG,12.869995
GOOG,-0.019958
GOOG,6.829956
GOOG,0.970031
GOOG,0.779969
GOOG,-7.049988
GOOG,3.400024
GOOG,2.219971
GOOG,-1.859985
GOOG,-3.299988
GOOG,-1.350037
GOOG,1.640015
GOOG,-6.5
GOOG,-2.26001
GOOG,-10.969971
GOOG,14.320008
GOOG,0.760009
GOOG,7.119996
GOOG,12.130004
GOOG,0.5
GOOG,-1.860046
GOOG,3.119995
GOOG,-1.549988
GOOG,1.52002
GOOG,-3.27002
GOOG,1.460022
GOOG,-3.895019
GOOG,2.845032
GOOG,14.289978
GOOG,4.559997
GOOG,11.799988
GOOG,-3.519959
GOOG,-8.840026
GOOG,-20.989991
GOOG,-5.530029
GOOG,-1.094971
GOOG,2.835022
GOOG,2.959961
GOOG,-0.149963
GOOG,5.629944
GOOG,1.410034
GOOG,1.179993
GOOG,4.109985
GOOG,5.570007
GOOG,1.210022
GOOG,-1.470032
GOOG,5.179993
GOOG,3.910034
GOOG,3.589966
GOOG,-0.899963
GOOG,0.570007
GOOG,-2.690002
GOOG,0.640014
GOOG,-6.070007
GOOG,12.029968
GOOG,-4.609985
GOOG,-1.549988
GOOG,-1.299988
GOOG,4.129944
GOOG,3.460022
GOOG,3.309998
GOOG,4.570007
GOOG,2.289978
GOOG,0.080017
GOOG,1.580017
GOOG,1.580017
GOOG,3.339966
GOOG,-3.719971
GOOG,-17.940002
GOOG,-0.869995
GOOG,-12.01001
GOOG,-3.150024
GOOG,5.080017
GOOG,1.409973
GOOG,10.48999
GOOG,0.090027
GOOG,-1.940002
GOOG,8.98999
GOOG,-3.979981
GOOG,-3.160034
GOOG,-3.529968
